KOI,logAiso,E_logAiso,e_logAiso
K00001,9.74,0.13,0.15
K00002,9.25,0.04,0.05
K00006,9.32,0.09,0.24
K00007,9.78,0.09,0.08
K00008,9.18,0.26,0.52
K00010,9.67,0.08,0.07
K00017,9.81,0.09,0.09
K00018,9.46,0.04,0.04
K00020,9.83,0.05,0.11
K00022,9.67,0.09,0.1
K00041,9.84,0.05,0.12
K00046,9.72,0.14,0.06
K00049,10.02,0.05,0.05
K00063,8.86,0.3,0.15
K00064,9.66,0.02,0.02
K00069,9.96,0.1,0.14
K00070,9.49,0.22,0.28
K00072,10.11,0.03,0.05
K00075,9.53,0.01,0.01
K00082,9.03,0.64,0.36
K00084,9.67,0.21,0.27
K00085,9.47,0.06,0.05
K00092,9.37,0.26,0.25
K00094,9.54,0.07,0.08
K00097,9.47,0.08,0.04
K00102,9.54,0.18,0.28
K00103,9.43,0.28,0.28
K00104,9.48,0.35,0.62
K00105,10.13,0.01,0.02
K00107,9.61,0.1,0.05
K00108,9.77,0.08,0.08
K00110,9.69,0.07,0.09
K00111,10.12,0.02,0.03
K00112,9.5,0.29,0.48
K00115,9.63,0.14,0.2
K00116,9.78,0.12,0.15
K00117,9.63,0.07,0.06
K00118,9.95,0.05,0.05
K00122,9.92,0.06,0.1
K00123,9.88,0.06,0.06
K00124,9.88,0.06,0.07
K00127,9.18,0.31,0.36
K00128,9.87,0.08,0.09
K00134,9.38,0.05,0.06
K00135,9.51,0.07,0.1
K00137,9.31,0.28,0.73
K00139,9.36,0.16,0.41
K00142,9.27,0.31,0.8
K00144,9.33,0.39,0.57
K00145,9.38,0.14,0.12
K00148,9.43,0.25,0.24
K00149,9.86,0.03,0.03
K00150,10.11,0.02,0.05
K00152,9.12,0.25,0.16
K00153,9.67,0.31,0.46
K00155,10.04,0.03,0.03
K00157,9.81,0.11,0.14
K00159,9.62,0.12,0.16
K00161,8.97,0.58,0.2
K00166,9.94,0.15,0.27
K00167,9.51,0.05,0.08
K00168,9.96,0.04,0.04
K00171,9.5,0.08,0.06
K00172,10.12,0.01,0.02
K00173,10.05,0.05,0.06
K00174,10.14,0.0,0.02
K00176,9.67,0.06,0.07
K00179,9.33,0.04,0.04
K00180,8.87,0.61,0.44
K00186,9.33,0.26,0.38
K00191,9.67,0.22,0.34
K00193,10.07,0.04,0.06
K00195,9.97,0.11,0.16
K00197,9.63,0.31,0.56
K00201,9.37,0.28,0.45
K00203,8.99,0.37,0.37
K00209,9.66,0.09,0.06
K00211,9.95,0.04,0.04
K00214,9.69,0.16,0.24
K00232,9.9,0.06,0.07
K00237,9.6,0.16,0.25
K00238,9.7,0.07,0.08
K00241,10.11,0.03,0.07
K00244,9.55,0.09,0.1
K00245,9.92,0.15,0.3
K00246,9.87,0.07,0.08
K00257,9.33,0.13,0.28
K00260,9.66,0.08,0.05
K00261,9.25,0.28,0.21
K00262,9.67,0.08,0.09
K00263,9.82,0.02,0.02
K00265,9.59,0.09,0.1
K00266,9.62,0.09,0.12
K00268,9.43,0.06,0.22
K00269,9.57,0.06,0.06
K00271,9.43,0.08,0.06
K00273,9.64,0.14,0.14
K00274,9.71,0.06,0.12
K00275,9.7,0.12,0.06
K00276,9.8,0.08,0.09
K00277,9.87,0.03,0.03
K00279,9.41,0.04,0.05
K00280,9.86,0.08,0.1
K00281,10.12,0.02,0.02
K00282,9.96,0.07,0.07
K00283,9.01,0.42,0.52
K00284,9.81,0.15,0.3
K00285,9.6,0.13,0.05
K00288,9.36,0.03,0.04
K00289,9.96,0.03,0.03
K00291,9.78,0.09,0.09
K00292,9.89,0.11,0.14
K00294,9.42,0.17,0.22
K00295,9.62,0.16,0.22
K00296,10.02,0.06,0.08
K00297,9.53,0.07,0.12
K00299,8.98,0.52,0.41
K00301,9.83,0.05,0.06
K00303,10.1,0.03,0.05
K00304,9.57,0.21,0.37
K00305,9.29,0.3,0.36
K00306,9.28,0.27,0.42
K00307,9.81,0.05,0.06
K00308,9.54,0.06,0.07
K00313,9.91,0.14,0.21
K00315,9.88,0.19,0.36
K00316,9.45,0.23,0.33
K00317,9.29,0.05,0.06
K00318,9.31,0.06,0.06
K00321,9.63,0.15,0.2
K00323,8.83,0.45,0.11
K00327,9.7,0.09,0.11
K00328,10.03,0.06,0.06
K00330,9.89,0.04,0.04
K00331,9.84,0.02,0.02
K00332,9.65,0.12,0.05
K00333,9.23,0.18,0.21
K00337,9.94,0.07,0.08
K00338,8.95,0.53,0.23
K00340,9.76,0.06,0.14
K00341,9.19,0.25,0.69
K00343,9.88,0.09,0.11
K00344,9.88,0.13,0.19
K00345,9.44,0.38,0.18
K00346,9.14,0.31,0.58
K00348,9.52,0.35,0.55
K00350,9.42,0.22,0.36
K00351,9.55,0.12,0.16
K00352,9.97,0.05,0.06
K00355,9.39,0.1,0.08
K00356,9.75,0.2,0.34
K00360,9.8,0.08,0.09
K00361,9.25,0.3,0.54
K00364,9.76,0.08,0.06
K00365,9.73,0.19,0.25
K00367,9.37,0.25,0.63
K00369,9.62,0.1,0.13
K00370,9.54,0.13,0.05
K00371,9.37,0.02,0.04
K00372,9.13,0.33,0.53
K00373,10.03,0.07,0.09
K00374,10.03,0.05,0.06
K00375,9.73,0.11,0.07
K00377,9.25,0.27,0.49
K00379,9.29,0.06,0.03
K00384,9.46,0.13,0.05
K00385,9.54,0.23,0.29
K00386,8.96,0.31,0.43
K00387,9.46,0.41,0.52
K00388,9.82,0.03,0.03
K00392,9.74,0.08,0.08
K00393,9.73,0.06,0.08
K00399,9.61,0.11,0.06
K00401,9.55,0.22,0.33
K00403,9.53,0.09,0.07
K00408,9.24,0.28,0.39
K00409,9.32,0.23,0.41
K00415,10.12,0.02,0.03
K00416,9.77,0.25,0.45
K00427,9.22,0.32,0.53
K00431,9.82,0.21,0.37
K00433,9.73,0.23,0.34
K00435,9.95,0.09,0.11
K00439,9.48,0.25,0.38
K00440,9.53,0.3,0.54
K00442,9.88,0.1,0.12
K00444,9.63,0.21,0.37
K00446,9.84,0.24,0.45
K00448,9.62,0.32,0.37
K00456,9.78,0.13,0.18
K00457,8.96,0.36,0.4
K00459,9.66,0.12,0.17
K00464,9.1,0.34,0.49
K00465,9.83,0.06,0.07
K00466,9.79,0.06,0.11
K00474,9.39,0.23,0.37
K00475,9.92,0.16,0.31
K00479,9.91,0.12,0.17
K00481,9.7,0.27,0.38
K00486,10.12,0.01,0.03
K00490,9.66,0.3,0.34
K00500,9.5,0.4,0.73
K00505,8.9,0.48,0.49
K00508,9.2,0.31,0.43
K00509,9.38,0.29,0.52
K00510,9.43,0.23,0.39
K00511,9.45,0.19,0.3
K00517,8.99,0.45,0.54
K00519,9.96,0.07,0.08
K00520,9.39,0.34,0.53
K00523,10.07,0.04,0.04
K00528,9.96,0.11,0.17
K00534,9.24,0.41,0.37
K00543,9.81,0.22,0.34
K00546,9.72,0.08,0.08
K00548,9.84,0.06,0.07
K00550,9.09,0.36,0.53
K00551,9.75,0.14,0.22
K00555,9.67,0.24,0.39
K00561,9.97,0.13,0.23
K00564,9.63,0.08,0.06
K00567,9.47,0.29,0.44
K00568,9.71,0.21,0.4
K00569,9.65,0.32,0.7
K00572,9.81,0.05,0.11
K00573,9.62,0.18,0.28
K00574,9.6,0.34,0.48
K00577,9.89,0.17,0.28
K00579,9.17,0.34,0.49
K00582,9.0,0.45,0.47
K00584,9.47,0.24,0.41
K00590,9.21,0.29,0.44
K00597,9.79,0.14,0.22
K00598,9.34,0.39,0.5
K00600,10.02,0.06,0.07
K00601,8.89,0.32,0.44
K00611,9.1,0.18,0.41
K00612,9.49,0.32,0.24
K00620,9.02,0.3,0.52
K00623,10.06,0.04,0.05
K00624,8.71,0.57,0.32
K00626,9.82,0.07,0.08
K00627,9.58,0.07,0.07
K00628,10.07,0.05,0.08
K00629,9.96,0.05,0.05
K00632,9.24,0.18,0.59
K00633,10.07,0.04,0.04
K00635,9.22,0.24,0.31
K00638,9.24,0.36,0.34
K00639,9.42,0.14,0.2
K00644,10.09,0.03,0.04
K00645,9.91,0.03,0.03
K00647,9.92,0.04,0.04
K00649,9.33,0.04,0.04
K00650,9.8,0.22,0.32
K00654,9.6,0.18,0.26
K00655,9.61,0.09,0.1
K00657,9.9,0.18,0.37
K00658,9.25,0.27,0.39
K00659,9.46,0.12,0.14
K00660,9.86,0.03,0.03
K00661,9.15,0.27,0.33
K00662,9.9,0.04,0.04
K00664,9.92,0.09,0.11
K00665,9.56,0.05,0.06
K00666,9.62,0.2,0.33
K00670,9.96,0.03,0.04
K00671,9.67,0.09,0.1
K00672,9.29,0.31,0.49
K00673,9.17,0.16,0.2
K00674,9.78,0.08,0.06
K00678,8.96,0.41,0.56
K00679,9.71,0.1,0.07
K00680,9.42,0.12,0.05
K00682,9.51,0.21,0.33
K00683,9.37,0.23,0.28
K00684,9.89,0.02,0.02
K00685,9.38,0.04,0.04
K00686,10.02,0.07,0.09
K00688,9.64,0.09,0.07
K00689,10.11,0.03,0.06
K00691,10.0,0.03,0.04
K00692,9.87,0.1,0.12
K00693,9.73,0.07,0.09
K00694,8.88,0.45,0.46
K00695,10.08,0.04,0.07
K00700,10.09,0.04,0.07
K00701,10.03,0.09,0.21
K00703,9.25,0.04,0.05
K00704,9.4,0.28,0.63
K00707,9.68,0.11,0.06
K00708,9.71,0.07,0.08
K00709,10.01,0.09,0.14
K00710,9.38,0.04,0.04
K00711,9.48,0.21,0.36
K00714,8.99,0.56,0.39
K00717,9.87,0.08,0.09
K00718,9.4,0.15,0.48
K00719,9.58,0.39,0.58
K00720,9.25,0.25,0.51
K00721,9.82,0.05,0.14
K00722,9.65,0.09,0.12
K00723,9.07,0.36,0.43
K00730,9.95,0.05,0.05
K00732,9.38,0.31,0.48
K00733,9.35,0.43,0.57
K00734,9.64,0.09,0.11
K00738,9.74,0.26,0.44
K00749,9.62,0.26,0.47
K00752,9.6,0.23,0.4
K00756,9.83,0.12,0.19
K00757,9.31,0.43,0.56
K00759,9.86,0.2,0.37
K00760,9.6,0.19,0.33
K00771,9.83,0.11,0.15
K00800,9.46,0.18,0.32
K00806,9.1,0.38,0.46
K00825,9.48,0.36,0.56
K00829,9.82,0.13,0.2
K00834,9.68,0.12,0.06
K00835,9.48,0.37,0.54
K00837,9.28,0.39,0.55
K00841,9.17,0.42,0.48
K00853,9.43,0.41,0.69
K00857,9.27,0.39,0.55
K00864,9.38,0.32,0.43
K00869,9.49,0.35,0.52
K00870,9.46,0.39,0.63
K00872,9.37,0.37,0.52
K00874,9.1,0.39,0.52
K00880,9.15,0.39,0.49
K00881,9.81,0.24,0.47
K00884,9.33,0.38,0.5
K00889,9.89,0.15,0.24
K00892,9.44,0.41,0.65
K00896,9.53,0.35,0.52
K00906,9.58,0.35,0.56
K00907,9.3,0.34,0.56
K00918,9.11,0.35,0.52
K00921,9.57,0.32,0.5
K00934,9.93,0.14,0.3
K00935,9.72,0.09,0.11
K00939,9.26,0.32,0.51
K00941,9.17,0.38,0.49
K00954,9.9,0.14,0.24
K00958,9.33,0.41,0.49
K00974,9.46,0.12,0.05
K00975,9.6,0.04,0.14
K00981,9.29,0.13,0.11
K00986,9.06,0.36,0.51
K00987,9.56,0.22,0.44
K00988,8.94,0.46,0.51
K00991,9.89,0.14,0.22
K00993,9.8,0.18,0.29
K00999,9.35,0.42,0.64
K01001,9.39,0.04,0.03
K01010,9.72,0.07,0.1
K01015,9.9,0.05,0.05
K01019,9.44,0.09,0.06
K01032,9.91,0.1,0.09
K01050,9.93,0.14,0.25
K01052,9.45,0.26,0.44
K01060,9.64,0.07,0.08
K01069,9.42,0.29,0.48
K01089,9.44,0.2,0.33
K01102,9.48,0.18,0.29
K01113,9.6,0.09,0.11
K01115,9.89,0.03,0.03
K01116,9.8,0.12,0.15
K01117,9.37,0.03,0.04
K01118,9.81,0.06,0.07
K01120,9.39,0.12,0.11
K01126,9.86,0.17,0.29
K01127,9.81,0.09,0.1
K01128,9.71,0.21,0.27
K01145,9.15,0.27,0.39
K01148,9.42,0.12,0.23
K01151,9.93,0.13,0.2
K01161,10.12,0.01,0.03
K01162,10.11,0.02,0.04
K01163,10.02,0.09,0.19
K01165,9.67,0.23,0.51
K01168,9.43,0.12,0.05
K01169,9.87,0.11,0.14
K01175,9.46,0.02,0.02
K01196,10.11,0.02,0.04
K01198,9.53,0.07,0.1
K01199,9.51,0.36,0.58
K01203,9.87,0.16,0.27
K01206,9.49,0.02,0.03
K01215,9.59,0.12,0.05
K01216,9.81,0.04,0.05
K01218,10.05,0.06,0.08
K01220,9.69,0.02,0.02
K01221,9.57,0.05,0.03
K01222,9.39,0.08,0.06
K01230,8.95,0.05,0.05
K01239,9.32,0.33,0.49
K01240,9.75,0.16,0.26
K01241,9.34,0.11,0.08
K01242,9.62,0.08,0.09
K01270,9.52,0.32,0.49
K01271,9.76,0.04,0.04
K01274,10.09,0.04,0.08
K01275,9.82,0.08,0.1
K01276,9.83,0.14,0.22
K01278,10.11,0.02,0.04
K01279,9.95,0.09,0.11
K01282,9.77,0.04,0.06
K01283,10.04,0.03,0.03
K01288,9.58,0.12,0.19
K01299,9.42,0.12,0.09
K01300,9.82,0.23,0.45
K01301,9.85,0.21,0.4
K01305,9.46,0.3,0.5
K01306,9.82,0.23,0.48
K01307,9.46,0.26,0.54
K01308,10.05,0.04,0.04
K01311,9.99,0.07,0.08
K01314,9.38,0.08,0.05
K01315,9.52,0.12,0.14
K01316,9.57,0.14,0.04
K01332,10.09,0.04,0.06
K01335,9.31,0.04,0.05
K01336,9.23,0.3,0.44
K01338,9.97,0.09,0.13
K01344,9.97,0.04,0.04
K01353,8.83,0.48,0.39
K01356,9.84,0.05,0.11
K01359,9.89,0.12,0.17
K01360,9.58,0.36,0.52
K01363,9.89,0.09,0.13
K01364,9.59,0.32,0.55
K01366,9.12,0.39,0.49
K01367,9.59,0.36,0.46
K01375,9.76,0.05,0.08
K01378,10.02,0.02,0.02
K01379,9.95,0.09,0.12
K01396,9.6,0.25,0.39
K01411,9.7,0.12,0.16
K01412,9.72,0.09,0.07
K01413,9.81,0.06,0.06
K01421,9.9,0.12,0.19
K01426,9.41,0.29,0.49
K01428,9.77,0.26,0.48
K01431,9.29,0.32,0.35
K01432,9.51,0.24,0.39
K01436,9.16,0.35,0.53
K01438,9.74,0.03,0.03
K01439,9.6,0.13,0.05
K01442,9.46,0.22,0.36
K01444,9.4,0.08,0.04
K01445,9.35,0.11,0.08
K01463,9.38,0.04,0.05
K01466,9.42,0.39,0.52
K01474,9.33,0.05,0.05
K01477,9.46,0.37,0.55
K01478,9.9,0.12,0.17
K01480,9.8,0.25,0.49
K01483,9.73,0.1,0.07
K01486,9.65,0.18,0.31
K01528,9.57,0.25,0.33
K01529,10.01,0.04,0.05
K01530,10.07,0.04,0.04
K01531,9.26,0.37,0.52
K01532,9.53,0.07,0.08
K01533,9.83,0.12,0.15
K01534,9.55,0.08,0.09
K01535,10.0,0.08,0.11
K01536,9.71,0.09,0.07
K01537,9.67,0.04,0.14
K01557,9.0,0.45,0.6
K01563,9.51,0.35,0.53
K01567,9.99,0.11,0.26
K01576,8.98,0.47,0.37
K01581,9.88,0.07,0.08
K01596,9.41,0.34,0.58
K01598,9.77,0.19,0.34
K01601,10.08,0.03,0.03
K01606,9.29,0.34,0.36
K01608,9.82,0.09,0.1
K01609,9.99,0.07,0.08
K01612,9.8,0.06,0.07
K01615,9.47,0.1,0.09
K01616,9.46,0.11,0.22
K01618,9.48,0.05,0.04
K01621,9.65,0.03,0.14
K01623,9.97,0.03,0.03
K01628,9.46,0.04,0.05
K01629,9.74,0.09,0.1
K01632,9.7,0.08,0.08
K01639,9.37,0.11,0.05
K01647,9.85,0.07,0.11
K01655,9.9,0.12,0.19
K01665,9.42,0.11,0.17
K01666,8.94,0.17,0.35
K01669,9.65,0.07,0.09
K01688,9.63,0.11,0.05
K01692,8.99,0.36,0.4
K01695,9.81,0.07,0.08
K01706,9.66,0.25,0.51
K01707,10.09,0.04,0.07
K01715,10.08,0.04,0.05
K01726,9.83,0.22,0.42
K01738,9.35,0.32,0.48
K01739,9.91,0.05,0.06
K01751,9.24,0.39,0.53
K01779,8.98,0.23,0.09
K01781,8.99,0.61,0.5
K01783,9.61,0.12,0.17
K01796,9.45,0.17,0.28
K01797,8.9,0.33,0.5
K01800,9.21,0.27,0.21
K01802,8.96,0.41,0.44
K01803,8.98,0.51,0.48
K01805,9.03,0.34,0.51
K01806,9.67,0.08,0.1
K01808,9.01,0.28,0.43
K01809,9.39,0.24,0.39
K01812,9.86,0.06,0.07
K01813,9.4,0.2,0.61
K01815,9.18,0.55,0.48
K01818,9.16,0.3,0.51
K01819,9.28,0.19,0.41
K01820,9.04,0.35,0.5
K01822,9.6,0.14,0.18
K01824,9.86,0.09,0.1
K01825,8.99,0.38,0.51
K01826,9.79,0.1,0.13
K01831,9.53,0.25,0.32
K01832,8.97,0.38,0.45
K01835,10.12,0.01,0.03
K01837,9.08,0.37,0.34
K01839,8.95,0.37,0.43
K01841,10.04,0.08,0.13
K01845,9.69,0.28,0.39
K01850,9.92,0.06,0.07
K01852,9.65,0.07,0.07
K01854,9.49,0.25,0.49
K01856,9.27,0.26,0.52
K01858,9.26,0.27,0.43
K01860,9.43,0.24,0.36
K01861,8.97,0.4,0.42
K01862,9.17,0.35,0.62
K01863,9.21,0.21,0.37
K01864,9.9,0.03,0.03
K01871,9.57,0.37,0.53
K01875,10.02,0.08,0.11
K01877,9.34,0.51,0.46
K01878,9.44,0.09,0.07
K01883,9.66,0.09,0.06
K01886,9.55,0.06,0.05
K01888,9.35,0.04,0.04
K01889,9.26,0.3,0.5
K01891,9.54,0.33,0.49
K01893,10.13,0.01,0.02
K01894,9.44,0.09,0.07
K01897,9.91,0.07,0.08
K01898,9.98,0.07,0.07
K01901,9.41,0.17,0.29
K01904,9.37,0.45,0.61
K01905,9.5,0.39,0.46
K01909,9.44,0.22,0.35
K01913,9.22,0.32,0.73
K01915,9.49,0.04,0.04
K01917,9.73,0.11,0.14
K01921,9.36,0.07,0.08
K01922,9.86,0.09,0.13
K01923,9.13,0.42,0.54
K01924,9.34,0.11,0.03
K01925,9.6,0.28,0.21
K01928,9.23,0.21,0.48
K01929,9.9,0.03,0.03
K01930,9.81,0.03,0.03
K01931,8.99,0.37,0.46
K01938,9.96,0.14,0.27
K01944,8.66,0.57,0.27
K01945,9.62,0.24,0.38
K01947,9.58,0.1,0.15
K01951,9.91,0.05,0.06
K01952,9.96,0.07,0.08
K01955,9.45,0.05,0.07
K01958,9.55,0.2,0.36
K01960,9.81,0.08,0.1
K01961,10.12,0.01,0.03
K01964,10.03,0.07,0.1
K01970,9.4,0.33,0.46
K01978,9.38,0.3,0.39
K01979,9.89,0.07,0.09
K01980,9.0,0.41,0.45
K01984,9.36,0.19,0.24
K01985,9.46,0.41,0.42
